plot;acidity;Ca;Mg;Na;K;P;Olsen
R 0;0.62;1.56;6.32;2180;230;26;3
R 10;1.28;1.1;1.84;1288;126;19;4
R 20;2.08;1.3;5.52;2920;90;32;13
R 30;1.58;0.54;3.38;1391;95;22;6
R 50;0.73;0.69;8.92;2719;148;29;4
Q35;1.72;0.25;3.01;1137;79;20;7
Q45;1.21;0.34;1.82;1526;82;10;4
S35;3.49;0.71;1.45;706;39;20;9
S45;1.79;0.44;2.74;983;26;11;3
M10;1.88;1.56;2.78;1800;61;12;3
M5;3.16;2.25;1.65;1041;38;17;7
N45;0.93;0.69;4.95;2565;100;18;2
O10;1.29;3.09;4.93;2640;98;9;1
Q20;0.67;2.23;8.49;4471;241;24;3
Q25;1.62;1.81;6.02;2654;103;40;7
S0;0.48;0.86;7.87;2262;213;34;4
S10;0.83;1.96;6.96;2982;165;21;3
S40;3.77;1.07;1.37;766;27;14;6
T35;3.17;0.49;0.66;419;26;12;5
U5;0.35;1.14;7.91;2823;295;35;4
U50;0.01;5.43;10.45;3975;475;58;7
V45;0.3;3.11;8.61;3701;332;50;7
L0;1.02;4.32;2.43;1297;91;16;2
L10;1.2;0.64;3.21;1707;72;15;3
L20;0.33;0.41;12.47;4292;161;26;4
L30;0.25;0.69;5.75;2608;219;14;3
L40;1.35;1.02;1.27;2110;46;13;3
L50;0.38;0.82;3.74;2046;108;14;2
N0;1.55;1.8;3.44;1569;76;8;2
N10;1.7;2.24;2.02;1783;51;10;2
N20;0.47;0.59;7.07;3280;87;9;1
N30;0.9;1.01;5.29;2827;142;18;4
N40;1.44;0.55;2.22;1079;76;19;6
N50;0.45;0.81;6.75;3254;143;11;2
P0;1.49;1.04;5.04;3268;138;13;3
P10;1.08;0.95;3.57;2324;106;17;2
P20;0.48;1.25;4.19;3006;205;25;3
P30;1.91;0.4;1.9;1563;74;21;8
P40;1.99;0.24;0.95;914;110;16;5
P50;1.44;0.38;5.62;2299;99;20;5
T0;0.29;1.07;11.12;2898;211;32;6
T10;0.7;0.56;8.18;3809;202;20;4
T20;0.27;0.9;8.85;2788;266;40;5
T30;2.57;0.22;0.2;102;25;15;5
T40;3.96;0.57;0.63;441;19;8;5
T50;0.28;4.27;8.8;4029;300;41;5
V0;0.44;1.31;8.66;2274;214;30;5
V10;0.93;0.51;6;2407;188;26;4
V20;1.25;0.58;2.29;708;115;20;5
V30;1.84;0.42;3.2;1807;40;17;5
V40;0.95;2.03;7.09;2899;116;19;3
V50;0.01;4.2;12.45;4429;539;99;7
A0;2.17;1.43;2.09;430;63;27;11
A5;2.83;0.61;0.64;149;51;29;10
A10;3.02;2.33;1.33;468;45;35;10
A20;1.66;1.11;3.46;903;38;24;7
A30;1.72;3.44;2.22;1139;148;54;10
A35;2.96;0.44;0.97;448;44;32;12
A40;1.9;3.31;5.66;1119;99;44;10
A50;3.39;2.73;0.9;388;36;26;10
B45;2.01;4.23;1.33;1708;67;20;6
C0;1.48;0.51;3.36;1201;100;19;6
C10;0.48;2.37;5.18;2122;176;21;3
C20;0.01;20.27;17.33;892;406;193;9
C30;0.01;12.36;11.2;894;315;24;3
C40;3.84;0.34;0.25;81;44;23;10
