sample;N_perc;dN;corr_dN;C_perc;dC;corr_dC;C_N_ratio;plot
A 10;0.08;9.63;9.65;1.44;-21.52;-20.49;17.18;A10
A 35;0.1;9.54;9.56;1.57;-22.69;-21.68;15.85;A35
A 50;0.11;9.05;9.08;2.54;-22.07;-21.05;22.2;A50
AD 30;0.06;6.63;6.68;0.51;-20.05;-19;8.54;AD30
AG 20;0.05;10.99;11;0.29;-18.94;-17.89;6.35;AG20
AH 40;0.1;12.24;12.24;1.43;-10.56;-9.42;14.25;AH40
AI 30;0.08;8.86;8.89;0.75;-19.62;-18.58;9.01;AI30
AI 40;0.08;11.1;11.11;0.88;-14.7;-13.61;11;AI40
AI 50;0.09;9.12;9.15;0.92;-18.72;-17.67;10.1;AI50
AJ 15;0.08;9.69;9.71;0.84;-18.67;-17.61;9.95;AJ15
B 45;0.08;8.63;8.66;1.46;-22.99;-21.97;18.49;B45
C 0;0.07;9.32;9.34;1.05;-23.25;-22.24;15.01;C0
C 20;0.07;12.56;12.56;1.26;-10.24;-9.1;16.92;C20
C 50;0.07;6.81;6.85;1.06;-23.33;-22.32;14.26;C50
D 5;0.06;10.04;10.06;0.74;-22.24;-21.22;11.83;D5
D 15;0.09;12.07;12.07;1.48;-11.08;-9.95;16.08;D15
E 0;0.07;7.82;7.86;0.51;-22.29;-21.27;7.7;E0
E 5;0.07;7.34;7.38;0.53;-19.46;-18.41;7.63;E5
E 10;0.11;8.37;8.4;2.4;-14.96;-13.87;22.17;E10
E 20;0.11;11.08;11.09;1.21;-17.67;-16.6;11.34;E20
G 0;0.07;8.33;8.36;0.33;-21.33;-20.3;4.59;G0
H 0;0.08;7.69;7.73;0.61;-17.15;-16.08;7.34;H0
H 45;0.08;8.54;8.56;0.78;-21.95;-20.93;9.53;H45
I 0;0.07;7.36;7.39;0.46;-20.53;-19.49;6.22;I0
I 10;0.09;9.7;9.72;0.78;-18.05;-16.99;8.37;I10
I 30;0.09;8.78;8.81;0.97;-19.93;-18.89;11.02;I30
I 40;0.09;9.36;9.39;0.95;-20.14;-19.1;10.11;I40
