plot;date;munsell;even
A15;2018/04/20;7.5YR 5/4;7.5YR 5/4
A25;2018/04/20;7.5YR 5/6;7.5YR 5/6
A45;2018/04/20;7.5YR 5/4;7.5YR 5/4
B0;2018/04/20;7.5YR 5/4;7.5YR 5/4
B5;2018/04/20;7.5YR 5/4;7.5YR 5/4
B10;2018/04/20;7.5YR 5/6;7.5YR 5/6
B15;2018/04/20;7.5YR 6/6;7.5YR 6/6
B20;2018/04/20;7.5YR 5/4;7.5YR 5/4
B30;2018/04/20;7.5YR 5/4;7.5YR 5/4
B35;2018/04/20;7.5YR 5/6;7.5YR 5/6
B40;2018/04/20;7.5YR 6/6;7.5YR 6/6
B50;2018/04/20;7.5YR 6/6;7.5YR 6/6
C5;2018/04/20;7.5YR 6/4;7.5YR 6/4
C15;2018/04/20;7.5YR 6/4;7.5YR 6/4
C25;2018/04/20;7.5YR 6/4;7.5YR 6/4
C35;2018/04/20;7.5YR 6/4;7.5YR 6/4
C45;2018/04/20;7.5YR 5/6;7.5YR 5/6
D0;2018/04/20;7.5YR 6/4;7.5YR 6/4
D10;2018/04/20;7.5YR 6/4;7.5YR 6/4
D25;2018/04/20;7.5YR 6/4;7.5YR 6/4
D20;2018/04/20;7.5YR 6/4;7.5YR 6/4
D30;2018/04/20;7.5YR 6/4;7.5YR 6/4
D35;2018/04/20;7.5YR 6/4;7.5YR 6/4
D40;2018/04/20;7.5YR 6/4;7.5YR 6/4
D45;2018/04/20;7.5YR 6/4;7.5YR 6/4
D50;2018/04/20;7.5YR 6/4;7.5YR 6/4
E15;2018/04/20;7.5YR 6/4;7.5YR 6/4
E25;2018/04/20;7.5YR 6/4;7.5YR 6/4
E35;2018/04/20;7.5YR 6/4;7.5YR 6/4
E45;2018/04/20;7.5YR 6/4;7.5YR 6/4
F0;2018/04/20;10YR 7/3;10YR 7/4
F5;2018/04/20;10YR 7/3;10YR 7/4
F10;2018/04/20;7.5YR 6/4;7.5YR 6/4
F15;2018/04/20;7.5YR 6/4;7.5YR 6/4
F20;2018/04/20;7.5YR 6/4;7.5YR 6/4
F25;2018/04/20;7.5YR 6/4;7.5YR 6/4
F30;2018/04/20;7.5YR 6/4;7.5YR 6/4
F35;2018/04/20;7.5YR 6/4;7.5YR 6/4
F40;2018/04/20;7.5YR 6/4;7.5YR 6/4
F45;2018/04/20;7.5YR 5/4;7.5YR 5/4
F50;2018/04/20;7.5YR 6/4;7.5YR 6/4
G15;2018/04/20;7.5YR 6/4;7.5YR 6/4
G25;2018/04/20;7.5YR 6/4;7.5YR 6/4
G35;2018/04/20;7.5YR 6/4;7.5YR 6/4
G45;2018/04/20;7.5YR 6/4;7.5YR 6/4
H10;2018/04/20;10YR 6/4;10YR 6/4
H20;2018/04/20;7.5YR 6/4;7.5YR 6/4
H25;2018/04/20;10YR 6/4;10YR 6/4
H30;2018/04/20;7.5YR 6/4;7.5YR 6/4
H35;2018/04/20;7.5YR 6/4;7.5YR 6/4
H40;2018/04/20;7.5YR 6/4;7.5YR 6/4
H50;2018/04/20;7.5YR 6/4;7.5YR 6/4
I5;2018/04/20;10YR 6/4;10YR 6/4
I15;2018/04/20;10YR 6/4;10YR 6/4
I25;2018/04/20;7.5YR 6/4;7.5YR 6/4
I35;2018/04/20;7.5YR 6/4;7.5YR 6/4
J0;2018/04/20;7.5YR 7/3;7.5YR 7/4
J5;2018/04/20;10YR 7/3;10YR 7/4
J10;2018/04/20;10YR 6/4;10YR 6/4
J15;2018/04/20;10YR 6/4;10YR 6/4
J20;2018/04/20;7.5YR 6/4;7.5YR 6/4
J25;2018/04/20;7.5YR 6/4;7.5YR 6/4
J30;2018/04/20;7.5YR 6/4;7.5YR 6/4
J35;2018/04/20;7.5YR 6/4;7.5YR 6/4
J40;2018/04/20;7.5YR 6/4;7.5YR 6/4
J50;2018/04/20;7.5YR 6/4;7.5YR 6/4
K5;2018/04/20;7.5YR 6/3;7.5YR 7/4
K15;2018/04/20;10YR 6/4;10YR 6/4
K25;2018/04/20;7.5YR 6/4;7.5YR 6/4
K45;2018/04/20;7.5YR 6/4;7.5YR 6/4
B25;2018/04/20;7.5YR 6/4;7.5YR 6/4
AA15;2018/04/20;7.5YR 5/6;7.5YR 5/6
AA5;2018/04/20;7.5YR 6/6;7.5YR 6/6
AA25;2018/04/20;7.5YR 6/6;7.5YR 6/6
AA35;2018/04/20;7.5YR 6/4;7.5YR 6/4
AA45;2018/04/20;7.5YR 6/4;7.5YR 6/4
AB5;2018/04/20;7.5YR 5/6;7.5YR 5/6
AB10;2018/04/20;7.5YR 5/6;7.5YR 5/6
AB15;2018/04/20;7.5YR 6/6;7.5YR 6/6
AB25;2018/04/20;7.5YR 6/6;7.5YR 6/6
AB30;2018/04/20;7.5YR 7/4;7.5YR 7/4
AB40;2018/04/20;7.5YR 6/4;7.5YR 6/4
AB45;2018/04/20;10YR 7/3;10YR 7/4
AB50;2018/04/20;7.5YR 6/4;7.5YR 6/4
AC5;2018/04/20;7.5YR 5/6;7.5YR 5/6
AC15;2018/04/20;7.5YR 5/6;7.5YR 5/6
AC25;2018/04/20;7.5YR 6/4;7.5YR 6/4
AC35;2018/04/20;7.5YR 6/6;7.5YR 6/6
AC45;2018/04/20;7.5YR 8/2;7.5YR 8/2
AD0;2018/04/20;7.5YR 5/4;7.5YR 5/4
AD5;2018/04/20;7.5YR 5/6;7.5YR 5/6
AD10;2018/04/20;7.5YR 5/6;7.5YR 5/6
AD15;2018/04/20;7.5YR 5/6;7.5YR 5/6
AD20;2018/04/20;7.5YR 5/6;7.5YR 5/6
AD25;2018/04/20;7.5YR 6/6;7.5YR 6/6
AD35;2018/04/20;7.5YR 6/6;7.5YR 6/6
AD40;2018/04/20;7.5YR 6/6;7.5YR 6/6
AD45;2018/04/20;10YR 7/3;10YR 7/4
AD50;2018/04/20;10YR 7/3;10YR 7/4
AE5;2018/04/20;7.5YR 5/4;7.5YR 5/4
AE15;2018/04/20;7.5YR 5/6;7.5YR 5/6
AE35;2018/04/20;7.5YR 6/6;7.5YR 6/6
AE45;2018/04/20;7.5YR 7/8;7.5YR 7/8
AF0;2018/04/23;7.5YR 5/4;7.5YR 5/4
AF5;2018/04/23;10YR 5/4;10YR 5/4
AF10;2018/04/23;10YR 5/6;10YR 5/6
AF15;2018/04/23;7.5YR 5/6;7.5YR 5/6
AF20;2018/04/23;10YR 5/6;10YR 5/6
AF25;2018/04/23;10YR 5/8;10YR 5/8
AF30;2018/04/23;10YR 5/6;10YR 5/6
AF35;2018/04/23;10YR 5/8;10YR 5/8
AF40;2018/04/23;10YR 6/6;10YR 6/6
AF45;2018/04/23;10YR 7/6;10YR 7/6
AF50;2018/04/23;10YR 6/6;10YR 6/6
AG15;2018/04/23;10YR 5/8;10YR 5/8
AG25;2018/04/23;10YR 5/8;10YR 5/8
AG35;2018/04/23;10YR 6/6;10YR 6/6
AG45;2018/04/23;10YR 5/8;10YR 5/8
AH0;2018/04/23;10YR 5/8;10YR 5/8
AH5;2018/04/23;10YR 6/6;10YR 6/6
AH10;2018/04/23;10YR 5/8;10YR 5/8
AH15;2018/04/23;10YR 6/6;10YR 6/6
AH20;2018/04/23;10YR 6/6;10YR 6/6
AH30;2018/04/23;10YR 5/8;10YR 5/8
AH35;2018/04/23;10YR 5/8;10YR 5/8
AH45;2018/04/23;10YR 5/8;10YR 5/8
AI5;2018/04/23;10YR 5/8;10YR 5/8
AI35;2018/04/23;10YR 6/6;10YR 6/6
AI45;2018/04/23;10YR 5/6;10YR 5/6
AJ0;2018/04/23;10YR 5/6;10YR 5/6
AJ5;2018/04/23;10YR 6/6;10YR 6/6
AJ10;2018/04/23;10YR 5/8;10YR 5/8
AJ20;2018/04/23;7.5YR 5/6;7.5YR 5/6
AJ25;2018/04/23;10YR 5/8;10YR 5/8
AJ30;2018/04/23;10YR 6/6;10YR 6/6
AJ40;2018/04/23;10YR 6/6;10YR 6/6
AJ45;2018/04/23;10YR 5/8;10YR 5/8
AJ50;2018/04/23;10YR 6/6;10YR 6/6
AK5;2018/04/23;10YR 5/6;10YR 5/6
AK15;2018/04/23;10YR 5/6;10YR 5/6
AK25;2018/04/23;10YR 5/8;10YR 5/8
AK35;2018/04/23;10YR 5/8;10YR 5/8
AK45;2018/04/23;10YR 5/8;10YR 5/8
L5;2018/04/23;10YR 6/6;10YR 6/6
L15;2018/04/23;7.5YR 6/4;7.5YR 6/4
L35;2018/04/23;7.5YR 6/4;7.5YR 6/4
L25;2018/04/23;5YR 6/4;5YR 6/4
L45;2018/04/23;7.5YR 6/4;7.5YR 6/4
M0;2018/04/23;10YR 5/6;10YR 5/6
M15;2018/04/23;7.5YR 6/4;7.5YR 6/4
M20;2018/04/23;7.5YR 7/2;7.5YR 7/2
M25;2018/04/23;7.5YR 7/3;7.5YR 7/2
M30;2018/04/23;10YR 7/3;10YR 7/4
M35;2018/04/23;7.5YR 6/4;7.5YR 6/4
M40;2018/04/23;7.5YR 5/4;7.5YR 5/4
M45;2018/04/23;7.5YR 6/4;7.5YR 6/4
