plot;date;total_pan;sieve_weight;soil_mass;less2mm;between2_5mm;total_less2mm;less1mm;between2_1;munsell;type;percent_over2;percent_over1
N50;2018/02/28;1424.55;1222.9;201.65;1421.55;3;1027.05;1026.05;1;5YR 6/4;grid;1.487726258;0.495908753
AG40;2018/02/28;1708.7;1222.9;485.8;1671.5;37.2;1276.95;1259.3;17.65;10YR 6/6;grid;7.657472211;3.63318238
AI0;2018/03/01;1536.85;1222.9;313.95;1506.2;30.65;1111.4;1086.75;24.65;10YR 4/6;grid;9.762701067;7.851568721
AI10;2018/03/01;1723.5;1223.2;500.3;1613.55;109.95;1218.25;1162.4;55.85;10YR 5/6;grid;21.97681391;11.16330202
AI20;2018/03/01;1712;1223.3;488.7;1667.6;44.4;1272.8;1241.65;31.15;10YR 6/6;grid;9.085328422;6.374053612
AI30;2018/03/01;1831.45;1223.35;608.1;1692.6;138.85;1297.2;1221.7;75.5;10YR 5/8;grid;22.83341556;12.4157211
AI40;2018/03/01;1684.95;1224.15;460.8;1642.45;42.5;1247.35;1215;32.35;10YR 6/6;grid;9.223090278;7.020399306
AI50;2018/03/01;1654.6;1224.1;430.5;1595.3;59.3;1200.2;1145.7;54.5;10YR 6/6;grid;13.7746806;12.65969803
AK0;2018/03/01;1665.1;1224.55;440.55;1637.4;27.7;1242.1;1207.05;35.05;10YR 5/4;grid;6.287595052;7.955964136
AK10;2018/03/02;1615.7;1223.7;392;1593.8;21.9;1198.9;1177.35;21.55;10YR 4/6;grid;5.586734694;5.49744898
AK20;2018/03/02;1568.1;1223.55;344.55;1511;57.1;1115.85;1065.5;50.35;7.5YR 5/6;grid;16.57234073;14.61326368
AK30;2018/03/02;1696.75;1223.55;473.2;1659.65;37.1;1264.55;1227.35;37.2;10YR 6/6;grid;7.840236686;7.8613694
AK40;2018/03/02;1731.05;1224;507.05;1705.1;25.95;1310.3;1270.3;40;10YR 6/6;grid;5.117838477;7.888768366
AK50;2018/03/02;1697.55;1219.5;478.05;1661.35;36.2;1267.66;1206.94;60.72;10YR 6/6;grid;7.572429662;12.70160025
AE25;2018/03/02;1502.21;1219.78;282.43;1440.13;62.08;1046.13;987.63;58.5;7.5YR 5/6;random;21.98066778;20.71309705
AB0;2018/03/02;1439.23;1219.57;219.66;1397.45;41.78;1003.9;985.76;18.14;10YR 5/4;random;19.02030411;8.258217245
AH50;2018/03/02;1546.4;1219.77;326.63;1506.05;40.35;1112.5;1087.5;25;10YR 6/4;random;12.35342743;7.653920338
AJ35;2018/03/02;1623.7;1219.72;403.98;1559.38;64.32;1165.63;1124.9;40.73;10YR 6/6;random;15.92158028;10.08218229
AB20;2018/03/02;1513.1;1219.9;293.2;1463.42;49.68;1069.66;1035.59;34.07;10YR 6/4;random;16.94406548;11.62005457
AJ15;2018/03/03;1606.63;1219.52;387.11;1579.13;27.5;1185.39;1158.89;26.5;10YR 6/6;random;7.103923949;6.845599442
AD30;2018/03/03;1547.2;1219.6;327.6;1525.67;21.53;1132.14;1102.68;29.46;7.5YR 5/6;random;6.572039072;8.992673993
AH40;2018/03/04;1561.31;1219.5;341.81;1536.52;24.79;1143.05;1129.12;13.93;10YR 6/6;random;7.252567216;4.075363506
AB35;2018/03/04;1632.97;1219.5;413.47;1552.31;80.66;1158.78;1116.45;42.33;10YR 4/6;random;19.50806588;10.23774397
AI15;2018/03/04;1654.78;1219.65;435.13;1469.52;185.26;1075.28;978.16;97.12;10YR 6/6;random;42.57578195;22.31976651
AG5;2018/03/04;1626.34;1220.09;406.25;1602.02;24.32;1208.17;1173.06;35.11;10YR 6/6;random;5.986461538;8.642461538
AI25;2018/03/04;1688.64;1219.79;468.85;1638.35;50.29;1244.71;1203.88;40.83;10YR 6/6;random;10.72624507;8.708542178
AH25;2018/03/04;1534.54;1219.78;314.76;1513.2;21.34;1119.56;1091.96;27.6;10YR 6/6;random;6.779768713;8.768585589
AA0;2018/03/07;1635.05;1219.82;415.23;1588.06;46.99;1194.47;1161.74;32.73;7.5YR 5/4;grid;11.3166197;7.882378441
AA10;2018/03/07;1732.25;1219.78;512.47;1665.07;67.18;1271.33;1243.56;27.77;7.5YR 5/6;grid;13.10906004;5.418853787
AA20;2018/03/07;1788.37;1219.62;568.75;1733.32;55.05;1339.77;1291.93;47.84;7.5YR 5/4;grid;9.679120879;8.411428571
AA30;2018/03/07;1590.45;1219.66;370.79;1520.95;69.5;1127.31;1091.01;36.3;7.5YR 6/4;grid;18.74376332;9.789908034
AA40;2018/03/07;1581.37;1219.65;361.72;1538.02;43.35;1144.35;1102.21;42.14;7.5YR 5/4;grid;11.98440783;11.64989495
AA50;2018/03/07;1499.44;1219.68;279.76;1482.54;16.9;1088.95;1065.58;23.37;10YR 7/3;grid;6.040892193;8.35358879
AC0;2018/03/07;1459.21;1219.5;239.71;1430.7;28.51;1037.24;1018.84;18.4;7.5YR 5/4;grid;11.89353803;7.675941763
AC10;2018/03/07;1596;1219.48;376.52;1538.09;57.91;1144.53;1109.23;35.3;7.5YR 5/6;grid;15.38032508;9.375331988
AC20;2018/03/08;1541.67;1219.54;322.13;1501.18;40.49;1107.68;1075.39;32.29;7.5YR 5/4;grid;12.56945953;10.02390339
AC30;2018/03/08;1507.83;1219.65;288.18;1448.51;59.32;1054.98;1009.11;45.87;7.5YR 5/6;grid;20.584357;15.91713512
AC40;2018/03/08;1651.27;1219.4;431.87;1604.7;46.57;1211.26;1190.5;20.76;7.5YR 5/4;grid;10.78333758;4.807002107
