plot;date;conductivity_ms;ph_h20;ph_kcl;order;type
AK0;2018/04/09;4.9;7.44;7.08;1;grid
AK10;2018/04/09;1.47;4.9;4.15;2;grid
AK20;2018/04/09;7.26;6;5.38;3;grid
AK30;2018/04/09;3.68;8.07;7.59;4;grid
AK40;2018/04/09;5.31;7.24;6.85;5;grid
AK50;2018/04/09;5.74;7.4;6.94;6;grid
AG0;2018/04/09;3.01;6.46;5.95;7;grid
AG10;2018/04/09;4.18;7.54;7.14;8;grid
AG20;2018/04/09;0.08;9.52;7.27;9;grid
AG30;2018/04/09;3.25;8.31;7.69;10;grid
AG40;2018/04/10;6.61;8.52;8.48;1;grid
AG50;2018/04/10;4.79;7.96;7.82;2;grid
AI0;2018/04/10;3.69;6.56;6.04;3;grid
AI10;2018/04/10;3.68;8.36;7.49;4;grid
AI20;2018/04/10;5.03;8.43;8.13;5;grid
AI30;2018/04/10;0.44;9.26;7.89;6;grid
AI40;2018/04/10;3.24;8.83;8.37;7;grid
AI50;2018/04/10;3.84;7.99;7.52;8;grid
AE0;2018/04/10;2.77;5.93;5.04;9;grid
AE10;2018/04/10;1.73;5.14;4.41;10;grid
AE20;2018/04/10;3.55;7.15;6.72;11;grid
AE30;2018/04/10;0.96;7.82;6.7;12;grid
AE40;2018/04/11;3.76;7.58;7.02;1;grid
AE50;2018/04/11;7.12;3.61;3.44;2;grid
AA0;2018/04/11;0.69;5.63;4.96;3;grid
AA10;2018/04/11;3.47;4.37;3.96;4;grid
AA20;2018/04/11;7.17;6.69;6.45;5;grid
AA30;2018/04/11;0.34;8.72;7.78;6;grid
AA40;2018/04/11;7.45;6.71;6.05;7;grid
AA50;2018/04/11;3.06;8.04;7.42;8;grid
AC0;2018/04/11;0.48;6.55;5.52;9;grid
AC10;2018/04/11;4.08;5.02;4.44;10;grid
AC20;2018/04/11;5.7;6.63;6;11;grid
AC30;2018/04/11;4.16;5.93;5.33;12;grid
AC40;2018/04/11;3.73;3.64;3.33;13;grid
AC50;2018/04/12;2.52;6.59;6.48;1;grid
AG5;2018/04/12;5.67;7.27;6.84;2;random
AH50;2018/04/12;5.41;7.88;7.55;3;random
AD30;2018/04/12;10.63;6.28;5.78;4;random
AH40;2018/04/12;7.83;8.54;8.31;5;random
AJ15;2018/04/12;0.81;8.17;6.67;6;random
AB35;2018/04/12;0.32;8.49;7.07;7;random
AH25;2018/04/12;0.2;9.93;8.05;8;random
