"plot","lon","lat","site"
"A0",18.548036,-31.264916,"site1"
"A5",18.5480779,-31.2649409,"site1"
"A10",18.5481198,-31.2649658,"site1"
"A15",18.5481617,-31.2649907,"site1"
"A20",18.5482036,-31.2650156,"site1"
"A25",18.5482455,-31.2650405,"site1"
"A30",18.5482874,-31.2650654,"site1"
"A35",18.5483293,-31.2650903,"site1"
"A40",18.5483712,-31.2651152,"site1"
"A45",18.5484131,-31.2651401,"site1"
"A50",18.548455,-31.265165,"site1"
"B0",18.5480053,-31.2649509,"site1"
"B5",18.54804723,-31.26497598,"site1"
"B10",18.54808916,-31.26500106,"site1"
"B15",18.54813109,-31.26502614,"site1"
"B20",18.54817302,-31.26505122,"site1"
"B25",18.54821495,-31.2650763,"site1"
"B30",18.54825688,-31.26510138,"site1"
"B35",18.54829881,-31.26512646,"site1"
"B40",18.54834074,-31.26515154,"site1"
"B45",18.54838267,-31.26517662,"site1"
"B50",18.5484246,-31.2652017,"site1"
"C0",18.5479746,-31.2649858,"site1"
"C5",18.54801656,-31.26501106,"site1"
"C10",18.54805852,-31.26503632,"site1"
"C15",18.54810048,-31.26506158,"site1"
"C20",18.54814244,-31.26508684,"site1"
"C25",18.5481844,-31.2651121,"site1"
"C30",18.54822636,-31.26513736,"site1"
"C35",18.54826832,-31.26516262,"site1"
"C40",18.54831028,-31.26518788,"site1"
"C45",18.54835224,-31.26521314,"site1"
"C50",18.5483942,-31.2652384,"site1"
"D0",18.5479439,-31.2650207,"site1"
"D5",18.54798589,-31.26504614,"site1"
"D10",18.54802788,-31.26507158,"site1"
"D15",18.54806987,-31.26509702,"site1"
"D20",18.54811186,-31.26512246,"site1"
"D25",18.54815385,-31.2651479,"site1"
"D30",18.54819584,-31.26517334,"site1"
"D35",18.54823783,-31.26519878,"site1"
"D40",18.54827982,-31.26522422,"site1"
"D45",18.54832181,-31.26524966,"site1"
"D50",18.5483638,-31.2652751,"site1"
"E0",18.5479132,-31.2650556,"site1"
"E5",18.54795522,-31.26508122,"site1"
"E10",18.54799724,-31.26510684,"site1"
"E15",18.54803926,-31.26513246,"site1"
"E20",18.54808128,-31.26515808,"site1"
"E25",18.5481233,-31.2651837,"site1"
"E30",18.54816532,-31.26520932,"site1"
